web-scraper-order,web-scraper-start-url,title-link,title-link-href,title,authors,artists,description,genres,demographic,image-src
"1567114932-329","http://m.mangatown.com/directory/0-0-0-0-0-0/","Tomo-chan wa Onnanoko!
Shounen, Comedy
Author(s): Yanagida Fumita
Views: 3006088
Jul 12, 2019","http://m.mangatown.com/manga/tomo_chan_wa_onnanoko","Tomo-chan wa Onnanoko!","Yanagida Fumita","Artist(s): Yanagida Fumita","Tomo Aizawa was able to successfully confess to her crush Junichirou Kubota. There is only one problem:
He just sees her as his buddy. He even thought that she was a boy until they went to middle school together, because her grade school was in a different school district. So, Tomo-chan's struggle for Jun's affection begins. HIDE","Genre(s): Comedy Romance School Life4 Koma","Shounen","https://l.mangatown.com/store/manga/18179/ocover.jpg?token=0c170a7fa79246d3ba971a7563ec8c697ee99134&ttl=1567198800&v=1543915150"
"1567114920-324","http://m.mangatown.com/directory/0-0-0-0-0-0/","The Gamer
Shounen, Adventure
Author(s): Sung San-young
Views: 2557021
Aug 16, 2019","http://m.mangatown.com/manga/the_gamer","The Gamer","Sung San-young","Artist(s): Sang-ah","Han Jee-Han, a normal high school student, suddenly develops a special power where his entire world is shifted into a game-like setting. He can see the power levels of people, look at the stats of a seemingly normal item, get abilities, and even level up! Follow Han Jee-Han as he discovers how to use this power, and maybe even where it came from.
What if your life is just like playing a game? What if you can upgrade your status and gain more levels? A fantasy world is coming right at you! HIDE","Genre(s): Adventure Comedy School Life Supernatural WebtoonsAction","Shounen","https://l.mangatown.com/store/manga/13739/ocover.jpg?token=bd517933c577c893e0436b5d8c92b4557e391849&ttl=1567198800&v=1544426479"
"1567114909-319","http://m.mangatown.com/directory/0-0-0-0-0-0/","Nisekoi (KOMI Naoshi)
Shounen, Drama
Author(s): Komi Naoshi
Views: 2145191
Oct 9, 2016","http://m.mangatown.com/manga/nisekoi_komi_naoshi","Nisekoi (KOMI Naoshi)","Komi Naoshi","Artist(s): Komi Naoshi","Their families are currently at war because of business rivalry: the boy's family are yakuza while the girl's family are gangsters. The leaders of both groups would like to get along, because if the war is not stopped, there will surely be many casualties. The problem is that their underlings won't listen to them, so they decided on something that will make them cooperate. They want Ichijou and Kirisaki to become lovers, so that their families will come to an understanding with each other.
Will the two of them become official lovers and make their families get along? Or will their families continue to fight and create many troubles along with it? HIDE","Genre(s): Drama Harem Romance School Life Slice Of LifeComedy","Shounen","https://l.mangatown.com/store/manga/8945/ocover.jpg?token=9ba581e6a3965f5ba31039d8af68418d318cbb4f&ttl=1567198800&v=1475140069"
"1567114913-321","http://m.mangatown.com/directory/0-0-0-0-0-0/","Monster Musume no ... chijou
Seinen, Ecchi
Author(s): Okayado
Views: 2237446
May 3, 2019","http://m.mangatown.com/manga/monster_musume_no_iru_nichijou","Monster Musume no Iru Nichijou","Okayado","Artist(s): Okayado","Monsters? They're real, and they want to date us! Three years ago, the world learned that harpies, centaurs, catgirls, and all manners of fabulous creatures are not merely fiction; they are flesh and blood?not to mention scale, feather, horn, and fang. Thanks to the ""Cultural Exchange Between Species Act,"" these once-mythical creatures have assimilated into society, or at least, they're trying.
When a hapless human teenager named Kurusu Kimihito is inducted as a ""volunteer"" into the government exchange program, his world is turned upside down. A snake-like lamia named Miia comes to live with him, and it is Kurusu's job to take care of her and make sure she integrates into his everyday life. Unfortunately for Kurusu, Miia is undeniably sexy, and the law against interspecies breeding is very strict. Even worse, when a ravishing centaur girl and a flirtatious harpy move in, what's a full-blooded teenage human with raging hormones to do? HIDE","Genre(s): Ecchi Fantasy Harem Mature Romance SupernaturalComedy","Seinen","https://l.mangatown.com/store/manga/11110/ocover.jpg?token=c3de830cf25a2ec69d02cb81b5d87b0e5ef5e044&ttl=1567198800&v=1548837206"
"1567114911-320","http://m.mangatown.com/directory/0-0-0-0-0-0/","Re:Monster
Seinen, Adventure
Author(s): Kanekiru Kogitsune
Views: 2171325
Jul 30, 2019","http://m.mangatown.com/manga/re_monster","Re:Monster","Kanekiru Kogitsune","Artist(s): Kobayakawa Haruyoshi","omokui Kanata has been re-incarnated in the weakest goblin, named Rou, after having undergone an unfortunate death. However goblin Rou has retained his previous life's memories, an unusual evolution, as well as becoming strong enough to gain status boosts from eating.
In this alternate world of survival of the fittest, events unfold with competent subordinates and comrades, delightful case of the tail-wagging dog - long-awaited survival fantasy by Komikaraizu ! HIDE","Genre(s): Adventure Comedy Fantasy Harem Mature RomanceAction","Seinen","https://l.mangatown.com/store/manga/14821/ocover.jpg?token=e3c0c0c23a28305e1c38f51c1442e43a518ecdb0&ttl=1567198800&v=1543568695"
"1567114916-322","http://m.mangatown.com/directory/0-0-0-0-0-0/","UQ Holder!
Shounen, Adventure
Author(s): Akamatsu Ken
Views: 2479185
Aug 19, 2019","http://m.mangatown.com/manga/uq_holder","UQ Holder!","Akamatsu Ken","Artist(s): Akamatsu Ken","In the decade since the world became aware of the existence of magic, the world has undergone massive upheaval. However, a boy named Touta lives in seclusion in a rural town far removed from these changes. His ordinary life is highlighted by his magic-using female teacher and his supportive friends. When his tranquil daily life is disrupted, he embarks on a unique adventure. HIDE","Genre(s): Adventure Comedy Drama Ecchi Fantasy Gender Bender Harem Romance Sci Fi SupernaturalAction","Shounen","https://l.mangatown.com/store/manga/13688/ocover.jpg?token=ea26f51d54a81e4fec94a3b4434c6ac4faadcb86&ttl=1567198800&v=1468891983"
"1567114925-326","http://m.mangatown.com/directory/0-0-0-0-0-0/","Battle Through the Heavens
Shounen, Adventure
Author(s): 任翔
Views: 2799776
Aug 21, 2019","http://m.mangatown.com/manga/battle_through_the_heavens","Battle Through the Heavens","任翔","Artist(s): N/A","In a land where no magic is present. A land where the strong makes the rules and weak has to obey. A land filled with alluring treasures and beauty yet also filled with unforeseen danger. Xiao Yan, who has shown talents none had seen in decades, suddenly three years ago lost everything, his powers, his reputation, and his promise to his mother. What sorcery has caused him to lose all of his powers? And why has his fiancee suddenly shown up? HIDE","Genre(s): Adventure Comedy Romance SupernaturalAction","Shounen","https://l.mangatown.com/store/manga/14764/ocover.jpg?token=bc098ebeb71f7b551a4834779520ca11cdfa6b27&ttl=1567198800&v=1544429622"
"1567114907-318","http://m.mangatown.com/directory/0-0-0-0-0-0/","Magika no Kenshi t ... n Maou
Seinen, Comedy
Author(s): Friendly Land
Views: 2100515
Aug 12, 2019","http://m.mangatown.com/manga/magika_no_kenshi_to_shoukan_maou","Magika no Kenshi to Shoukan Maou","Friendly Land","Artist(s): Chun","15 years ago the world discovered magic as well as mythical beings (basically beings from various legends) in another dimension. Humankind learned to summon these dangerous mythical beings and use their power to great effect. Seven countries formed contracts with these ""mythical beings"" and gained their allegiance as a result. The mythical beings will chose their summoners on their 14th birthday and give them a stigma. Schools have been set up to train summoners and magical swordsman (basically bodyguards that give the summoners time to cast their spell) as a result.
15 years later after the finding of magic Kazuki Hayashizaki is chosen as a summoner and given a stigma to indicate that. This is surprising since males aren't chosen as summoners due to their low amount of mana compared to females. As the first male to be a summoner Kazuki is under a lot of scrutiny by almost everyone.
To complicate matters his sister (who's a magical swordsman) is against him going into summoner school to train there as a summoner. Because summoners and magical swordsman have a cat mouse thing going on where summoners look down on magical swordsman as inferior so his sister naturally is against him going there. She'll stop him even if it means going to war.
Kazuki however is determined to thrive in summoner school and has already determined to give it his all. Even if he's the lowest ranked student (ranked E) and his fellow students intend to demean him he'll prove himself as the strongest summoner. HIDE","Genre(s): Comedy Ecchi Fantasy Harem Romance School Life SupernaturalAction","Seinen","https://l.mangatown.com/store/manga/14060/ocover.jpg?token=96adf9253b00e676964c3bb774d6eaf845f5337c&ttl=1567198800&v=1469095208"
"1567114928-327","http://m.mangatown.com/directory/0-0-0-0-0-0/","Soul Land
Shounen, Fantasy
Author(s): Tang Jia San Shao
Views: 2807326
Aug 21, 2019","http://m.mangatown.com/manga/soul_land","Soul Land","Tang Jia San Shao","Artist(s): Mu Feng Chun","Tang Sect, the most famous martial arts sect of all. By stealing its most secret teachings to fulfill his dreams, Tang San committed an unforgivable crime. With his ambition attained, he hands his legacy to the sect and throws himself from the fearsome “Hell’s Peak.”
But he could have never imagined that this would take him to another world, one without magic, martial arts, and grudges. A land where only the mystical souls of battle lay.
The continent of Douro.
How will Tang San survive in this unknown environment? With a new road to follow, a new legend begins… HIDE","Genre(s): Fantasy Martial Arts Romance SupernaturalAction","Shounen","https://l.mangatown.com/store/manga/14767/ocover.jpg?token=8ffe5dc3c392d46df6d785cbfe39d860fd414001&ttl=1567198800&v=1558497627"
"1567114945-335","http://m.mangatown.com/directory/0-0-0-0-0-0/","Fairy Tail
Shounen, Adventure
Author(s): Mashima Hiro
Views: 8456585
Jul 22, 2017","http://m.mangatown.com/manga/fairy_tail","Fairy Tail","Mashima Hiro","Artist(s): Mashima Hiro","Fairy Tail is a world filled with magic spells, flying cats, and exhibitionist ice mages! We travel to the land of Fiore, where we stumble upon Fairy Tail; a mage guild with the most outrageous and interesting people you can find.
Fairy Tail is trying to tell us: If there is no close relatives of words in the world, then what about the the friends company in the side ? Even though we looking for to the end of the world, but if the attachment can't be saved, the fatigue steps will not stop. HIDE","Genre(s): Adventure Comedy Drama Ecchi FantasyAction","Shounen","https://l.mangatown.com/store/manga/246/ocover.jpg?token=2a76d77b16ecf16ddb142dfa3458c643c1413744&ttl=1567198800&v=1558499289"
